year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,il,ba,il,ba,0,,
2008,final,il,ge,il,ge,2,,
2008,final,il,lv,il,lv,0,,
2008,final,il,pt,il,pt,0,,
2008,final,il,is,il,is,4,,
2008,final,il,dk,il,dk,0,,
2008,final,il,es,il,es,0,,
2008,final,il,al,il,al,0,,
2008,final,il,se,il,se,1,,
2008,final,il,fr,il,fr,0,,
2008,final,il,ro,il,ro,6,,
2008,final,il,hr,il,hr,0,,
2008,final,il,fi,il,fi,0,,
2008,final,il,de,il,de,0,,
2008,final,il,pl,il,pl,0,,
2008,final,il,gb,il,gb,0,,
2008,final,lv,ru,lv,ru,12,,
2008,final,lv,ua,lv,ua,10,,
2008,final,lv,gr,lv,gr,0,,
2008,final,lv,am,lv,am,0,,
2008,final,lv,no,lv,no,6,,
2008,final,lv,rs,lv,rs,0,,
2008,final,lv,tr,lv,tr,0,,
2008,final,lv,az,lv,az,4,,
2008,final,lv,il,lv,il,0,,
2008,final,lv,ba,lv,ba,0,,
2008,final,lv,ge,lv,ge,8,,
2008,final,lv,lv,lv,lv,0,,
2008,final,lv,pt,lv,pt,0,,
2008,final,lv,is,lv,is,2,,
2008,final,lv,dk,lv,dk,7,,
2008,final,lv,es,lv,es,0,,
2008,final,lv,al,lv,al,0,,
2008,final,lv,se,lv,se,0,,
2008,final,lv,fr,lv,fr,3,,
2008,final,lv,ro,lv,ro,0,,
2008,final,lv,hr,lv,hr,5,,
2008,final,lv,fi,lv,fi,1,,
2008,final,lv,de,lv,de,0,,
2008,final,lv,pl,lv,pl,0,,
2008,final,lv,gb,lv,gb,0,,
2008,final,lt,ru,lt,ru,12,,
2008,final,lt,ua,lt,ua,6,,
2008,final,lt,gr,lt,gr,0,,
2008,final,lt,am,lt,am,0,,
2008,final,lt,no,lt,no,4,,
2008,final,lt,rs,lt,rs,0,,
2008,final,lt,tr,lt,tr,0,,
2008,final,lt,az,lt,az,7,,
2008,final,lt,il,lt,il,3,,
2008,final,lt,ba,lt,ba,0,,
2008,final,lt,ge,lt,ge,5,,
2008,final,lt,lv,lt,lv,10,,
2008,final,lt,pt,lt,pt,0,,
2008,final,lt,is,lt,is,0,,
2008,final,lt,dk,lt,dk,2,,
2008,final,lt,es,lt,es,0,,
2008,final,lt,al,lt,al,0,,
2008,final,lt,se,lt,se,1,,
2008,final,lt,fr,lt,fr,8,,
2008,final,lt,ro,lt,ro,0,,
2008,final,lt,hr,lt,hr,0,,
2008,final,lt,fi,lt,fi,0,,
2008,final,lt,de,lt,de,0,,
2008,final,lt,pl,lt,pl,0,,
2008,final,lt,gb,lt,gb,0,,
2008,final,mt,ru,mt,ru,8,,
2008,final,mt,ua,mt,ua,10,,
2008,final,mt,gr,mt,gr,2,,
2008,final,mt,am,mt,am,0,,
2008,final,mt,no,mt,no,3,,
2008,final,mt,rs,mt,rs,1,,
2008,final,mt,tr,mt,tr,0,,
2008,final,mt,az,mt,az,0,,
2008,final,mt,il,mt,il,0,,
2008,final,mt,ba,mt,ba,0,,
2008,final,mt,ge,mt,ge,5,,
2008,final,mt,lv,mt,lv,7,,
2008,final,mt,pt,mt,pt,0,,
2008,final,mt,is,mt,is,6,,
2008,final,mt,dk,mt,dk,4,,
2008,final,mt,es,mt,es,0,,
2008,final,mt,al,mt,al,0,,
2008,final,mt,se,mt,se,12,,
2008,final,mt,fr,mt,fr,0,,
